epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1701.38,0.8715,0.6866,1.15653,0.8306,0.62773,0.68001,0.4624,1.05082,0.7123,1.37729,0.007162,0.007162,0.007162
45,1740.09,0.8587,0.66672,1.14175,0.90832,0.64273,0.70825,0.47893,1.00624,0.72261,1.37538,0.007096,0.007096,0.007096
46,1778.65,0.8535,0.65604,1.14681,0.62218,0.76717,0.73924,0.5032,0.96299,0.71224,1.32856,0.00703,0.00703,0.00703
47,1817.35,0.84899,0.65598,1.14724,0.7294,0.66026,0.72588,0.49506,0.97227,0.71364,1.33452,0.006964,0.006964,0.006964
48,1855.97,0.85096,0.6669,1.14478,0.67855,0.66434,0.69168,0.47833,0.96349,0.65874,1.32713,0.006898,0.006898,0.006898
49,1894.53,0.84913,0.66633,1.14552,0.87832,0.65756,0.70209,0.49847,0.95979,0.66374,1.3357,0.006832,0.006832,0.006832
50,1933.19,0.83166,0.64974,1.13419,0.77633,0.82797,0.87239,0.57975,1.01914,0.68918,1.35065,0.006766,0.006766,0.006766
51,1971.6,0.84245,0.63581,1.13418,0.89194,0.72397,0.74009,0.52397,0.96037,0.68336,1.32142,0.0067,0.0067,0.0067
52,2010.24,0.84882,0.64267,1.13715,0.70809,0.70918,0.71297,0.48628,0.99581,0.70191,1.32066,0.006634,0.006634,0.006634
53,2048.77,0.84186,0.65962,1.13476,0.68702,0.84934,0.84543,0.59456,0.90723,0.64585,1.29483,0.006568,0.006568,0.006568
54,2087.53,0.83076,0.63603,1.13041,0.72578,0.70186,0.71619,0.50937,0.99705,0.69131,1.35703,0.006502,0.006502,0.006502
55,2125.96,0.83111,0.6377,1.12364,0.88472,0.70149,0.75266,0.53362,0.94135,0.62798,1.31499,0.006436,0.006436,0.006436
56,2164.19,0.81556,0.62041,1.12535,0.9137,0.68299,0.72861,0.51639,0.98538,0.64709,1.36799,0.00637,0.00637,0.00637
