epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,899.742,0.70732,0.65016,1.08792,0.69264,0.70238,0.70226,0.42271,1.43373,1.12502,1.71456,0.000990365,0.000990365,0.000990365
43,921.05,0.68481,0.66001,1.07914,0.66162,0.65177,0.64671,0.39859,1.5104,1.20331,1.85035,0.000973861,0.000973861,0.000973861
44,942.203,0.70672,0.66198,1.08287,0.75295,0.7381,0.71901,0.45485,1.47246,1.03763,1.73612,0.000957358,0.000957358,0.000957358
45,963.46,0.69066,0.65722,1.08292,0.58634,0.75,0.69398,0.44597,1.40688,1.10349,1.66212,0.000940855,0.000940855,0.000940855
46,984.786,0.69309,0.65547,1.07775,0.72115,0.67857,0.71176,0.45295,1.43401,1.16648,1.76114,0.000924352,0.000924352,0.000924352
47,1006.02,0.70616,0.68799,1.09466,0.74055,0.63095,0.71696,0.45066,1.40659,1.12713,1.71745,0.000907848,0.000907848,0.000907848
48,1027.26,0.65557,0.62895,1.06005,0.64098,0.76518,0.72423,0.45755,1.38373,1.08292,1.70044,0.000891345,0.000891345,0.000891345
49,1048.66,0.6951,0.65112,1.08698,0.63839,0.7381,0.70978,0.43348,1.4341,1.06381,1.7753,0.000874842,0.000874842,0.000874842
50,1070.07,0.67808,0.64433,1.07799,0.7222,0.74282,0.76064,0.45952,1.3832,0.97995,1.74644,0.000858338,0.000858338,0.000858338
51,1091.33,0.68701,0.62976,1.08066,0.68745,0.71429,0.70589,0.44254,1.40837,1.0895,1.74141,0.000841835,0.000841835,0.000841835
52,1112.55,0.68455,0.6434,1.07706,0.69952,0.83144,0.73156,0.44765,1.42377,1.05947,1.73261,0.000825332,0.000825332,0.000825332
53,1133.76,0.66569,0.62195,1.06777,0.69458,0.71429,0.71615,0.43822,1.36594,1.10922,1.66689,0.000808828,0.000808828,0.000808828
54,1155.18,0.67108,0.63552,1.0714,0.73493,0.69318,0.71489,0.43982,1.32295,1.07266,1.65642,0.000792325,0.000792325,0.000792325
55,1176.38,0.67238,0.64674,1.0759,0.65813,0.75,0.70767,0.46465,1.40353,1.03358,1.79558,0.000775822,0.000775822,0.000775822
56,1197.57,0.6449,0.60072,1.06152,0.64619,0.7619,0.68934,0.45417,1.31371,1.11015,1.69655,0.000759318,0.000759318,0.000759318
57,1218.77,0.67099,0.61871,1.0804,0.80059,0.70238,0.77663,0.48976,1.29617,1.01094,1.63367,0.000742815,0.000742815,0.000742815
58,1239.95,0.65219,0.61812,1.0588,0.70596,0.79762,0.75743,0.46455,1.36848,0.97554,1.68039,0.000726312,0.000726312,0.000726312
59,1261.23,0.6503,0.61884,1.06098,0.71599,0.6603,0.69316,0.42955,1.3519,1.0698,1.68285,0.000709809,0.000709809,0.000709809
60,1282.45,0.65586,0.60838,1.0688,0.7358,0.72619,0.74527,0.43814,1.38087,1.047,1.7691,0.000693305,0.000693305,0.000693305
61,1303.74,0.65163,0.62494,1.05725,0.71201,0.77381,0.72481,0.43705,1.355,1.01228,1.70029,0.000676802,0.000676802,0.000676802
62,1325.11,0.66236,0.63155,1.06517,0.68873,0.7381,0.72345,0.46075,1.35602,1.03008,1.68521,0.000660299,0.000660299,0.000660299
63,1346.3,0.64115,0.60339,1.04903,0.74885,0.72619,0.72352,0.45313,1.30802,1.03577,1.69845,0.000643795,0.000643795,0.000643795
64,1367.57,0.64174,0.60387,1.05811,0.70313,0.73314,0.71684,0.44809,1.43489,0.97516,1.74848,0.000627292,0.000627292,0.000627292
65,1388.88,0.63711,0.60855,1.05763,0.78989,0.70238,0.74188,0.44439,1.31967,0.97918,1.65619,0.000610789,0.000610789,0.000610789
66,1410.27,0.63422,0.58733,1.05073,0.71113,0.70338,0.74079,0.48015,1.24716,1.01556,1.58523,0.000594286,0.000594286,0.000594286
67,1431.45,0.62487,0.5835,1.04444,0.71109,0.72619,0.7236,0.45527,1.38314,0.99689,1.76339,0.000577782,0.000577782,0.000577782
68,1452.67,0.61669,0.59251,1.0404,0.69961,0.69319,0.71126,0.43937,1.33232,1.03068,1.7477,0.000561279,0.000561279,0.000561279
69,1473.82,0.61425,0.57472,1.04073,0.67346,0.80952,0.75699,0.4667,1.39026,0.94706,1.75126,0.000544776,0.000544776,0.000544776
70,1495,0.62007,0.59969,1.04354,0.75183,0.68529,0.74217,0.45107,1.3097,1.00251,1.65892,0.000528272,0.000528272,0.000528272
71,1516.08,0.61137,0.56866,1.0371,0.69484,0.69048,0.68588,0.42905,1.36727,1.04162,1.74864,0.000511769,0.000511769,0.000511769
72,1537.44,0.6083,0.57083,1.03326,0.67752,0.77381,0.73895,0.47514,1.27396,0.94962,1.61881,0.000495266,0.000495266,0.000495266
73,1558.67,0.60448,0.56273,1.03016,0.63368,0.80316,0.74094,0.4705,1.31016,0.9368,1.65477,0.000478762,0.000478762,0.000478762
74,1579.86,0.60352,0.57443,1.0276,0.67401,0.76306,0.74431,0.4702,1.35412,0.94002,1.69936,0.000462259,0.000462259,0.000462259
75,1601.13,0.62174,0.58288,1.03608,0.69077,0.72619,0.7036,0.44048,1.32864,0.95663,1.69724,0.000445756,0.000445756,0.000445756
76,1622.27,0.59878,0.56421,1.02999,0.73809,0.67102,0.73216,0.49051,1.28639,0.95832,1.72617,0.000429253,0.000429253,0.000429253
77,1643.48,0.61023,0.58342,1.03185,0.76165,0.7381,0.76633,0.49662,1.29912,0.94054,1.67198,0.000412749,0.000412749,0.000412749
78,1664.79,0.59069,0.55597,1.02314,0.7892,0.71429,0.76063,0.50092,1.30098,0.93074,1.68715,0.000396246,0.000396246,0.000396246
79,1685.99,0.60457,0.56481,1.0348,0.74352,0.72619,0.73677,0.47073,1.35141,0.92346,1.76307,0.000379743,0.000379743,0.000379743
80,1707.09,0.592,0.55899,1.03929,0.78267,0.72619,0.74609,0.47896,1.31449,0.92165,1.75855,0.000363239,0.000363239,0.000363239
81,1728.32,0.58834,0.55008,1.0233,0.74221,0.71981,0.74232,0.46744,1.26918,0.95427,1.70024,0.000346736,0.000346736,0.000346736
82,1749.52,0.59406,0.55174,1.02682,0.69152,0.79762,0.74349,0.46865,1.27804,0.9213,1.69525,0.000330233,0.000330233,0.000330233
83,1770.82,0.56423,0.5381,1.00852,0.70456,0.76659,0.72793,0.46189,1.30747,1.00632,1.72595,0.000313729,0.000313729,0.000313729
84,1792.08,0.58771,0.53753,1.02355,0.63286,0.75928,0.70002,0.45327,1.31939,0.99457,1.7392,0.000297226,0.000297226,0.000297226
85,1813.29,0.57235,0.54758,1.01793,0.69386,0.7619,0.7399,0.47617,1.26715,0.95996,1.70071,0.000280723,0.000280723,0.000280723
86,1834.56,0.5623,0.53397,1.01615,0.63868,0.79966,0.71925,0.48534,1.28744,0.97306,1.75318,0.00026422,0.00026422,0.00026422
87,1855.7,0.58484,0.53733,1.01797,0.79937,0.71152,0.76584,0.49778,1.26545,0.9433,1.7331,0.000247716,0.000247716,0.000247716
88,1876.96,0.55774,0.53564,1.00879,0.74075,0.69048,0.72298,0.47401,1.31739,0.98641,1.80092,0.000231213,0.000231213,0.000231213
89,1898.17,0.56125,0.52719,1.0145,0.77053,0.71958,0.75347,0.48057,1.33174,0.96431,1.78987,0.00021471,0.00021471,0.00021471
90,1919.24,0.55736,0.5243,1.00209,0.74585,0.67857,0.73002,0.47144,1.31943,0.9182,1.74173,0.000198206,0.000198206,0.000198206
91,1943.22,0.51321,0.47948,0.97888,0.73738,0.70238,0.71976,0.47724,1.28476,0.88522,1.72221,0.000181703,0.000181703,0.000181703
92,1964.06,0.50032,0.45745,0.97972,0.78123,0.70238,0.74538,0.4688,1.3152,0.91927,1.8184,0.0001652,0.0001652,0.0001652
93,1984.87,0.49444,0.45817,0.96878,0.76932,0.71463,0.74942,0.46506,1.2891,0.95755,1.73785,0.000148696,0.000148696,0.000148696
94,2005.66,0.4977,0.4534,0.97561,0.71065,0.72619,0.70889,0.45743,1.32149,0.91548,1.77524,0.000132193,0.000132193,0.000132193
95,2026.39,0.48138,0.43469,0.95686,0.79707,0.69048,0.73757,0.4748,1.29813,0.9313,1.73918,0.00011569,0.00011569,0.00011569
96,2047.24,0.47711,0.43815,0.94975,0.8316,0.70548,0.77899,0.49409,1.26635,0.93893,1.73012,9.91865e-05,9.91865e-05,9.91865e-05
97,2068.09,0.47177,0.43877,0.95188,0.82904,0.6928,0.76466,0.48367,1.27753,0.94244,1.73549,8.26832e-05,8.26832e-05,8.26832e-05
98,2088.84,0.47475,0.4277,0.95864,0.77204,0.72619,0.71972,0.47384,1.26559,0.93919,1.72867,6.61799e-05,6.61799e-05,6.61799e-05
